Month,Crashes,Lags
2024-06,104695,213013
2024-07,121333,250616
2024-08,124821,258984
2024-09,87679,185067
2024-10,70977,144524
2024-11,139923,284543
2024-12,87108,178017
2025-01,220140,446746
2025-02,13565,31573
2025-03,98880,206692
2025-04,125419,258045
2025-05,115363,238438
2025-06,80172,169320
2025-07,134391,279745
2025-08,71970,147409
2025-09,150872,306775
2025-10,140992,287526
2025-11,116299,238742
2025-12,143537,296567
2026-01,72428,153894
2026-02,109980,225026
2026-03,114180,236095
2026-04,99541,206709
2026-05,116598,239652
2026-06,26145,55183
